age,mothers_education,fathers_education,mothers_job,fathers_job,study_time,family_support,activities,internet,relationship,family_relationship,free_time,go_out,health,absences,final_grade,alcohol_consumption
18,4,4,0,4,2,0,0,0,0,4,3,4,3,4,11,1
17,1,1,0,2,2,1,0,1,0,5,3,3,3,2,11,1
15,1,1,0,2,2,0,0,1,0,4,3,2,3,6,12,3
15,4,2,1,3,3,1,1,1,1,3,2,2,5,0,14,1
16,3,3,2,2,2,1,0,0,0,4,3,2,5,0,13,2
16,4,3,3,2,2,1,1,1,0,5,4,2,5,6,13,2
16,2,2,2,2,2,0,0,1,0,4,4,4,3,0,13,1
17,4,4,2,4,2,1,0,0,0,4,1,4,1,2,13,1
15,3,2,3,2,2,1,0,1,0,4,2,2,1,0,17,1
15,3,4,2,2,2,1,1,1,0,5,5,1,5,0,13,1
15,4,4,4,1,2,1,0,1,0,3,3,3,2,2,14,2
15,2,1,3,2,3,1,1,1,0,5,2,2,4,0,13,1
15,4,4,1,3,1,1,1,1,0,4,3,3,5,0,12,2
15,4,3,4,2,2,1,0,1,0,5,4,3,3,0,13,2
15,2,2,2,2,3,1,0,1,1,4,5,2,3,0,15,1
16,4,4,1,2,1,1,0,1,0,4,4,4,2,6,17,2
16,4,4,3,3,3,1,1,1,0,3,2,3,2,10,14,2
16,3,3,2,2,2,1,1,0,0,5,3,2,4,2,14,1
17,3,2,3,3,1,1,1,1,0,5,5,5,5,2,7,3
16,4,3,1,2,1,0,1,1,0,3,1,3,5,6,12,2
15,4,3,4,2,2,0,0,1,0,4,4,1,1,0,14,1
15,4,4,1,1,1,1,0,1,0,5,4,2,5,0,12,1
16,4,2,4,2,2,0,1,1,0,4,5,1,5,0,14,2
16,2,2,2,2,2,1,1,1,0,5,4,4,5,2,10,3
15,2,4,3,1,3,1,1,1,0,4,3,2,5,2,10,1
16,2,2,3,3,1,1,0,1,0,1,2,2,5,6,12,2
15,2,2,2,2,1,1,0,1,0,4,2,2,5,8,12,2
15,4,2,1,3,1,0,0,1,0,2,2,4,1,0,11,3
16,3,4,3,2,2,1,1,1,0,5,3,3,5,2,13,1
16,4,4,4,4,2,1,1,1,1,4,4,5,5,4,12,4
15,4,4,1,3,2,1,0,1,0,5,4,2,5,0,11,4
15,4,4,3,3,2,1,1,1,0,4,3,1,5,2,15,1
15,4,3,4,0,2,1,1,1,1,4,5,2,5,0,15,1
15,3,3,2,2,2,0,1,1,0,5,3,2,2,0,12,1
16,3,2,2,2,1,1,0,1,0,5,4,3,5,4,12,1
15,2,3,2,2,1,1,1,0,0,3,5,1,5,4,11,1
15,4,3,4,3,3,1,1,1,0,5,4,3,4,0,14,1
16,4,4,2,4,3,1,1,1,1,2,4,3,5,4,13,1
15,3,4,3,1,3,1,1,1,0,4,3,2,5,2,12,1
15,2,2,0,2,1,1,1,0,0,4,3,1,2,8,12,1
16,2,2,2,2,2,1,1,1,1,3,3,3,3,16,10,2
15,4,4,4,2,1,1,0,1,1,5,4,3,5,8,11,3
15,4,4,3,4,2,1,1,1,0,4,3,3,5,0,15,1
15,2,2,3,3,1,1,0,1,0,5,4,1,1,0,10,1
16,2,2,2,0,2,0,1,1,0,4,3,3,5,14,11,2
15,4,3,2,2,2,1,1,1,1,5,2,2,5,4,11,1
16,3,3,2,3,2,1,0,1,0,2,3,5,3,6,13,3
16,4,3,1,3,4,0,1,1,0,4,2,2,2,2,17,1
15,4,2,4,2,2,1,0,0,0,4,3,3,5,4,13,2
15,4,4,3,4,2,1,1,1,0,4,4,4,3,2,12,1
16,2,2,3,3,2,1,0,1,0,4,3,3,4,0,13,3
15,4,2,1,2,2,1,0,1,0,4,3,3,5,0,16,1
15,4,2,1,1,1,0,0,0,0,5,5,5,5,4,9,4
15,4,4,3,3,1,1,0,1,0,3,3,4,5,0,12,3
15,3,3,2,2,1,0,0,1,0,5,3,4,1,0,13,4
16,2,1,2,2,2,0,1,1,1,5,3,4,2,2,12,1
15,4,3,3,3,2,1,1,1,0,4,3,2,1,0,15,1
15,4,4,4,1,2,1,1,0,0,3,2,2,5,8,16,1
15,1,2,2,0,2,1,1,1,0,4,3,2,5,0,14,1
16,4,2,3,2,2,1,0,1,0,4,2,3,5,2,16,1
16,4,4,1,4,2,1,1,0,0,2,4,4,4,0,16,3
16,1,1,3,3,1,1,1,1,1,5,5,5,5,0,16,4
